block_id,query_locus,target_locus,length,identity,score,n_query_windows,n_target_windows,query_genome,target_genome,length_category
2,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0004,27219,0.9142973635692876,24886.25993899244,27219,27219,1313.30775,1313.30775,25-50kb
6,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0008,16972,0.9267008435823192,15727.96671727912,16972,16972,1313.30775,1313.30775,10-25kb
8,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0010,12482,0.9081258182652648,11335.226463587034,12482,12482,1313.30775,1313.30775,10-25kb
10,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0012,13616,0.9035779755043292,12303.117714466947,13616,13616,1313.30775,1313.30775,10-25kb
14,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0016,11839,0.9126667779760672,10805.061984458658,11839,11839,1313.30775,1313.30775,10-25kb
15,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0017,10299,0.9126661001834112,9399.54816578895,10299,10299,1313.30775,1313.30775,10-25kb
35,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000007,12487,0.9310702531409732,11626.274250971332,12487,12487,1313.30775,CAYEVI000000000,10-25kb
46,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000018,6471,0.9292500734540888,6013.1772253214085,6471,6471,1313.30775,CAYEVI000000000,5-10kb
50,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000022,6926,0.9178219722688584,6356.834979934113,6926,6926,1313.30775,CAYEVI000000000,5-10kb
55,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000027,5582,0.9240907320969683,5158.274466565278,5582,5582,1313.30775,CAYEVI000000000,5-10kb
59,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000031,7800,0.909356561190163,7092.981177283271,7800,7800,1313.30775,CAYEVI000000000,5-10kb
86,1313.30775:1313.30775_accn|1313.30775.con.0001,JALJEL000000000:JALJEL000000000_accn|JALJEL010000005,27467,0.9180168214086848,25215.16803363234,27467,27467,1313.30775,JALJEL000000000,25-50kb
92,1313.30775:1313.30775_accn|1313.30775.con.0001,JALJEL000000000:JALJEL000000000_accn|JALJEL010000011,14837,0.9132189076390016,13549.428932639868,14837,14837,1313.30775,JALJEL000000000,10-25kb
95,1313.30775:1313.30775_accn|1313.30775.con.0001,JALJEL000000000:JALJEL000000000_accn|JALJEL010000014,10685,0.9123729504297372,9748.70497534174,10685,10685,1313.30775,JALJEL000000000,10-25kb
98,1313.30775:1313.30775_accn|1313.30775.con.0001,JALJEL000000000:JALJEL000000000_accn|JALJEL010000017,10518,0.9114681798847264,9586.822316027552,10518,10518,1313.30775,JALJEL000000000,10-25kb
109,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000003,40812,0.9105599614341542,37161.7731460507,40812,40812,1313.30775,JBBKAE000000000,25-50kb
111,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000005,21540,0.9057836599061392,19510.580034378236,21540,21540,1313.30775,JBBKAE000000000,10-25kb
113,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000007,15064,0.9066310235396168,13657.489738600783,15064,15064,1313.30775,JBBKAE000000000,10-25kb
116,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000010,14960,0.9165827715191844,13712.078261927,14960,14960,1313.30775,JBBKAE000000000,10-25kb
117,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000011,10937,0.9284959736650292,10154.960463974425,10937,10937,1313.30775,JBBKAE000000000,10-25kb
119,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000013,12053,0.9225681580933526,11119.71400949918,12053,12053,1313.30775,JBBKAE000000000,10-25kb
121,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000015,8731,0.9060773316371128,7910.961182523632,8731,8731,1313.30775,JBBKAE000000000,5-10kb
123,1313.30775:1313.30775_accn|1313.30775.con.0001,JBBKAE000000000:JBBKAE000000000_accn|JBBKAE010000017,9831,0.93035867978872,9146.356181002908,9831,9831,1313.30775,JBBKAE000000000,5-10kb
143,1313.30775:1313.30775_accn|1313.30775.con.0001,JBJIAH000000000:JBJIAH000000000_accn|JBJIAH010000002,37904,0.9123523324329286,34581.80280853772,37904,37904,1313.30775,JBJIAH000000000,25-50kb
147,1313.30775:1313.30775_accn|1313.30775.con.0001,JBJIAH000000000:JBJIAH000000000_accn|JBJIAH010000006,19841,0.9074728534712978,18005.16888572402,19841,19841,1313.30775,JBJIAH000000000,10-25kb
149,1313.30775:1313.30775_accn|1313.30775.con.0001,JBJIAH000000000:JBJIAH000000000_accn|JBJIAH010000008,14714,0.9150493686793104,13464.036410747372,14714,14714,1313.30775,JBJIAH000000000,10-25kb
150,1313.30775:1313.30775_accn|1313.30775.con.0001,JBJIAH000000000:JBJIAH000000000_accn|JBJIAH010000009,11344,0.9206906716558448,10444.314979263903,11344,11344,1313.30775,JBJIAH000000000,10-25kb
