block_id,query_locus,target_locus,length,identity,score,n_query_windows,n_target_windows,query_genome,target_genome,length_category
0,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0002,39140,0.8054789181239346,31526.4448553708,39140,39140,1313.30775,1313.30775,25-50kb
1,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0003,33084,0.7905791571740254,26155.520835945455,33084,33084,1313.30775,1313.30775,25-50kb
2,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0004,27219,0.9142973635692876,24886.25993899244,27219,27219,1313.30775,1313.30775,25-50kb
3,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0005,22662,0.808162454302498,18314.57753940321,22662,22662,1313.30775,1313.30775,10-25kb
4,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0006,26205,0.7995702115859306,20952.73739460931,26205,26205,1313.30775,1313.30775,25-50kb
5,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0007,17039,0.8169202779231298,13919.504615532209,17039,17039,1313.30775,1313.30775,10-25kb
6,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0008,16972,0.9267008435823192,15727.96671727912,16972,16972,1313.30775,1313.30775,10-25kb
7,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0009,19116,0.7910848280306928,15122.377572634725,19116,19116,1313.30775,1313.30775,10-25kb
8,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0010,12482,0.9081258182652648,11335.226463587034,12482,12482,1313.30775,1313.30775,10-25kb
9,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0011,15498,0.7985506653941714,12375.938212278868,15498,15498,1313.30775,1313.30775,10-25kb
10,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0012,13616,0.9035779755043292,12303.117714466947,13616,13616,1313.30775,1313.30775,10-25kb
11,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0013,11033,0.8345751989376128,9207.868169878682,11033,11033,1313.30775,1313.30775,10-25kb
12,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0014,9968,0.8056375754598407,8030.595352183693,9968,9968,1313.30775,1313.30775,5-10kb
13,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0015,10010,0.7717810293956577,7725.528104250534,10010,10010,1313.30775,1313.30775,10-25kb
14,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0016,11839,0.9126667779760672,10805.061984458658,11839,11839,1313.30775,1313.30775,10-25kb
15,1313.30775:1313.30775_accn|1313.30775.con.0001,1313.30775:1313.30775_accn|1313.30775.con.0017,10299,0.9126661001834112,9399.54816578895,10299,10299,1313.30775,1313.30775,10-25kb
29,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000001,22817,0.7933859947261588,18102.688241666765,22817,22817,1313.30775,CAYEVI000000000,10-25kb
30,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000002,18799,0.7825592708912321,14711.331733484272,18799,18799,1313.30775,CAYEVI000000000,10-25kb
31,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000003,19875,0.8035026608550236,15969.615384493594,19875,19875,1313.30775,CAYEVI000000000,10-25kb
32,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000004,18674,0.8189763187448362,15293.563776241072,18674,18674,1313.30775,CAYEVI000000000,10-25kb
33,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000005,14918,0.8847578277201081,13198.817273928573,14918,14918,1313.30775,CAYEVI000000000,10-25kb
34,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000006,15963,0.8083378178398735,12903.4965861779,15963,15963,1313.30775,CAYEVI000000000,10-25kb
35,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000007,12487,0.9310702531409732,11626.274250971332,12487,12487,1313.30775,CAYEVI000000000,10-25kb
36,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000008,12893,0.8116202894809058,10464.22039227732,12893,12893,1313.30775,CAYEVI000000000,10-25kb
37,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000009,11111,0.8719991399058477,9688.782443493874,11111,11111,1313.30775,CAYEVI000000000,10-25kb
38,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000010,12300,0.7743361951127555,9524.335199886891,12300,12300,1313.30775,CAYEVI000000000,10-25kb
39,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000011,9569,0.7927154719269353,7585.494350868843,9569,9569,1313.30775,CAYEVI000000000,5-10kb
40,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000012,9752,0.7994264680010507,7796.006915946246,9752,9752,1313.30775,CAYEVI000000000,5-10kb
41,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000013,10025,0.79100979588519,7929.87320374903,10025,10025,1313.30775,CAYEVI000000000,10-25kb
42,1313.30775:1313.30775_accn|1313.30775.con.0001,CAYEVI000000000:CAYEVI000000000_accn|CAYEVI010000014,9340,0.813317197982799,7596.382629159342,9340,9340,1313.30775,CAYEVI000000000,5-10kb
82,1313.30775:1313.30775_accn|1313.30775.con.0001,JALJEL000000000:JALJEL000000000_accn|JALJEL010000001,51069,0.7985561586249127,40781.46446481567,51069,51069,1313.30775,JALJEL000000000,>50kb
