sequence_id	hmm_name	bitscore	evalue	c_evalue	i_evalue	env_from	env_to	dom_bitscore
accn|1313.30775.con.0001_10	AA_kinase	155.25762939453125	2.4431902281152886e-46	6.693023308529117e-49	3.475352352953744e-46	4	234	154.75677490234375
accn|1313.30775.con.0001_10	PUA	58.234317779541016	6.508098183279762e-17	7.259926307404352e-20	1.507886694047884e-16	276	349	57.06513214111328
accn|1313.30775.con.0001_100	adh_short	29.871950149536133	4.079183773654231e-08	3.107811529042194e-10	9.221320779743766e-08	3	136	28.71613883972168
accn|1313.30775.con.0001_100	RmlD_sub_bind	41.17008590698242	1.180567692975136e-11	3.6907048901459956e-14	1.9163985142083083e-11	3	177	40.47964859008789
accn|1313.30775.con.0001_100	KR	32.65262985229492	7.669161065560604e-09	5.399013261726752e-11	1.4017188180758081e-08	4	137	31.799259185791016
accn|1313.30775.con.0001_100	Epimerase	198.59156799316406	1.1757614757853539e-59	3.3405268894261344e-62	1.3876548698676162e-59	5	263	198.35597229003906
accn|1313.30775.con.0001_100	Polysacc_synt_2	53.96841812133789	1.6160119815385947e-15	3.978863698413645e-17	2.066024975401285e-14	5	187	50.335689544677734
accn|1313.30775.con.0001_100	3Beta_HSD	63.15595245361328	2.2566252166490016e-18	3.954313407621872e-20	2.0532772369076568e-17	6	168	60.0098991394043
accn|1313.30775.con.0001_100	GDP_Man_Dehyd	200.44915771484375	5.567432274161449e-60	1.259188253377361e-62	6.538335005661947e-60	6	326	200.2196807861328
accn|1313.30775.con.0001_100	NAD_binding_10	30.26073455810547	4.0234309341029365e-08	6.565155845703761e-11	6.817914345763356e-08	9	180	29.514116287231445
accn|1313.30775.con.0001_101	DAO	194.8413848876953	3.21402202520128e-58	8.730838026658762e-61	3.62679011627405e-58	3	342	194.66879272460938
accn|1313.30775.con.0001_101	NAD_binding_8	29.706560134887695	6.631938035571363e-08	6.19316307753569e-10	2.572639942408326e-07	6	42	27.820531845092773
accn|1313.30775.con.0001_102	DUF34_NIF3	252.18844604492188	6.15210192243989e-76	3.595418422346464e-79	7.467684063213606e-76	5	246	251.912841796875
accn|1313.30775.con.0001_103	Methyltransf_18	183.9134063720703	1.9811837669482193e-55	1.480439911762584e-58	3.074873696730887e-55	2	153	183.293701171875
accn|1313.30775.con.0001_103	TrmK	266.0796813964844	1.994528057952241e-80	1.1134629584271106e-83	2.312662564653109e-80	19	219	265.8697814941406
accn|1313.30775.con.0001_104	E1-E2_ATPase	109.5411376953125	1.470915173641399e-32	2.8327687503926797e-35	1.470915173641399e-32	95	276	109.5411376953125
accn|1313.30775.con.0001_104	Hydrolase	80.5771484375	2.2070194636899453e-23	4.465116331715202e-25	4.637023310486238e-23	292	544	79.52544403076172
accn|1313.30775.con.0001_105	Acyltransferase	79.55517578125	2.074966071631132e-23	1.3143253754936203e-26	2.7298538049002493e-23	20	144	79.16972351074219
accn|1313.30775.con.0001_106	Cad	311.4669189453125	2.6502982093847426e-94	1.4363087296901315e-97	2.983213231566403e-94	12	204	311.2992858886719
accn|1313.30775.con.0001_107	Ribosomal_S15	117.49378967285156	2.4524650293212156e-35	1.4360858682836848e-38	2.982750348425213e-35	8	88	117.22135925292969
accn|1313.30775.con.0001_108	NmrA	27.981979370117188	1.7832979022311233e-07	2.1688374084583544e-10	2.252337648684001e-07	1	111	27.64903450012207
accn|1313.30775.con.0001_108	Epimerase	23.22441291809082	4.3238154141992995e-06	1.775532231766269e-08	7.375560890757081e-06	4	75	22.46510887145996
accn|1313.30775.con.0001_108	NAD_binding_10	62.094635009765625	6.890892484757243e-18	8.244924119084576e-21	8.562353697669332e-18	7	194	61.787200927734375
accn|1313.30775.con.0001_11	Lactamase_B	45.65315628051758	8.224901090759601e-13	4.671828257156617e-15	1.3861981843020419e-12	38	277	44.91338348388672
accn|1313.30775.con.0001_11	Choline_bind_1	118.57160949707031	3.809494843682281e-36	4.097792886220159e-07	5.674077216452847e-05	360	378	20.3094425201416
accn|1313.30775.con.0001_11	Choline_bind_1	118.57160949707031	3.809494843682281e-36	1.820403189890293e-05	0.002520651616934759	381	399	15.115899085998535
accn|1313.30775.con.0001_11	Choline_bind_1	118.57160949707031	3.809494843682281e-36	0.00011796290703332754	0.01633393052721475	401	416	12.5576810836792
accn|1313.30775.con.0001_11	Choline_bind_1	118.57160949707031	3.809494843682281e-36	1.1299294523139817e-08	1.5645756483040933e-06	421	439	25.225221633911133
accn|1313.30775.con.0001_11	Choline_bind_3	108.62561798095703	1.1600256281413847e-32	3.470291789140489e-13	4.805197364029864e-11	421	461	39.421791076660156
accn|1313.30775.con.0001_11	Choline_bind_1	118.57160949707031	3.809494843682281e-36	2.555622352239568e-09	3.538685083734389e-07	441	459	27.260108947753906
accn|1313.30775.con.0001_11	Choline_bind_3	108.62561798095703	1.1600256281413847e-32	1.1336430635918647e-10	1.5697177620535353e-08	460	502	31.373306274414062
accn|1313.30775.con.0001_11	Choline_bind_1	118.57160949707031	3.809494843682281e-36	9.464175547466316e-09	1.310472840805836e-06	461	479	25.467838287353516
accn|1313.30775.con.0001_11	Choline_bind_3	108.62561798095703	1.1600256281413847e-32	1.3476892528581198e-09	1.8661003854575432e-07	500	543	27.9315185546875
accn|1313.30775.con.0001_11	Choline_bind_1	118.57160949707031	3.809494843682281e-36	8.059218754002154e-08	1.115933156804165e-05	521	539	22.535673141479492
accn|1313.30775.con.0001_11	Choline_bind_2	27.158201217651367	3.9550921302221617e-07	1.523386472882874e-09	3.9550921302221617e-07	522	557	27.158201217651367
accn|1313.30775.con.0001_111	TGS	48.375450134277344	8.254719785495707e-14	2.360110842965578e-16	2.450975110419753e-13	2	61	46.86171340942383
accn|1313.30775.con.0001_111	tRNA_SAD	61.29671859741211	7.18206534597471e-18	1.5093019519258372e-20	1.567410077074982e-17	169	218	60.21181869506836
accn|1313.30775.con.0001_111	tRNA-synt_2b	140.93614196777344	4.89522517021461e-42	1.7103828773292653e-44	8.88116309053221e-42	318	535	140.09336853027344
accn|1313.30775.con.0001_111	HGTP_anticodon	93.6046142578125	7.083796106369519e-28	2.237435746967406e-30	1.5490513488171005e-27	547	638	92.51544189453125
accn|1313.30775.con.0001_112	HATPase_c	68.71111297607422	6.0343409407687e-20	6.583550668195716e-22	9.116023158561668e-20	214	320	68.13420104980469
accn|1313.30775.con.0001_113	Response_reg	91.84105682373047	3.2607549536273095e-27	4.5664265618930013e-29	6.774619977894116e-27	4	113	90.81856536865234
accn|1313.30775.con.0001_113	Trans_reg_C	84.06670379638672	6.20810553086112e-25	5.594947506344525e-27	1.4525882463346973e-24	147	222	82.88375854492188
